supplier,year,month,week,purchase_date,invoice_id,store_code,store_name,network,category,product_group,article_description,grower,purchase_flow,origin,color,buy_price,selling_price,coefficient,margin,quantity,invoice_product_value,purchase_value,invoice_kind,total_purchase_amount,total_selling_amount,estimated_margin_amount
Tulip Export,2024,7,28,2024-07-12,698705,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Plantes,Lys,Roses premium,Grower A,Commande spéciale,Kenya,Mixte,6.15,10.14,1.65,446.88,112,1135.68,688.8,Creditnota,688.8000000000001,1135.68,446.88
Rose Africa,2024,11,48,2024-11-28,679986,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Fleurs coupées,Bouquets mixtes,Lys premium,Grower D,Stock,Kenya,Vert,7.01,15.65,2.23,1892.16,219,3427.35,1535.19,Factuur,1535.19,3427.35,1892.1599999999999
Rose Africa,2024,9,39,2024-09-25,692621,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Accessoires,Plantes vertes,Orchidées premium,Grower C,Stock,France,Vert,1.68,3.79,2.26,65.41,31,117.49,52.08,Creditnota,52.08,117.49,65.41
VDV,2024,10,42,2024-10-15,689284,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Bouquets,Plantes vertes,Tulipes premium,Grower C,Réassort,France,Rose,2.66,4.51,1.7,196.1,106,478.06,281.96,Factuur,281.96000000000004,478.06,196.09999999999997
VDV,2024,1,3,2024-01-19,630802,HF001,HAPPY PARIS OPERA,Franchise,Bouquets,Lys,Bouquets mixtes premium,Grower D,Stock,Italie,Rouge,8.45,20.81,2.46,2484.36,201,4182.81,1698.45,Creditnota,1698.4499999999998,4182.8099999999995,2484.3599999999997
Rose Africa,2024,12,49,2024-12-03,666291,CF0021,MONCEAU FLEURS LYON,Franchise,Plantes,Orchidées,Lys premium,Grower A,Réassort,Pays-Bas,Blanc,5.63,12.27,2.18,132.8,20,245.4,112.6,Creditnota,112.6,245.39999999999998,132.79999999999998
Tulip Export,2024,10,43,2024-10-24,682298,CF0021,MONCEAU FLEURS LYON,Succursale,Bouquets,Roses,Orchidées premium,Grower C,Réassort,Kenya,Rouge,6.05,9.94,1.64,392.89,101,1003.94,611.05,Creditnota,611.05,1003.9399999999999,392.89
Orchidées France,2024,10,44,2024-10-29,619653,HF001,HAPPY PARIS OPERA,Franchise,Plantes,Roses,Lys premium,Grower C,Commande spéciale,Pays-Bas,Mixte,7.3,10.33,1.42,115.14,38,392.54,277.4,Factuur,277.4,392.54,115.14000000000004
Rose Africa,2024,3,12,2024-03-18,634123,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Bouquets,Lys,Plantes vertes premium,Grower B,Réassort,Pays-Bas,Jaune,3.98,8.68,2.18,1151.5,245,2126.6,975.1,Creditnota,975.1,2126.6,1151.5
Flora Holland,2024,11,47,2024-11-23,604139,HF001,HAPPY PARIS OPERA,Succursale,Plantes,Plantes vertes,Orchidées premium,Grower C,Réassort,Italie,Mixte,8.34,11.18,1.34,508.36,179,2001.22,1492.86,Factuur,1492.86,2001.22,508.3600000000001
VDV,2024,3,10,2024-03-06,615509,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Fleurs coupées,Roses,Orchidées premium,Grower C,Commande spéciale,France,Rose,7.19,13.83,1.92,883.12,133,1839.39,956.27,Factuur,956.2700000000001,1839.39,883.12
VDV,2024,11,46,2024-11-15,663984,HF001,HAPPY PARIS OPERA,Franchise,Plantes,Roses,Plantes vertes premium,Grower A,Promotion,Italie,Rose,6.84,15.65,2.29,334.78,38,594.7,259.92,Factuur,259.92,594.7,334.78000000000003
Tulip Export,2024,9,36,2024-09-07,672625,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Plantes,Plantes vertes,Roses premium,Grower A,Promotion,Italie,Rose,4.99,10.56,2.12,679.54,122,1288.32,608.78,Factuur,608.78,1288.3200000000002,679.5400000000002
Orchidées France,2024,2,8,2024-02-22,644193,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Accessoires,Roses,Orchidées premium,Grower C,Promotion,Italie,Jaune,3.06,5.45,1.78,131.45,55,299.75,168.3,Factuur,168.3,299.75,131.45
Flora Holland,2024,10,42,2024-10-17,685791,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Bouquets,Plantes vertes,Orchidées premium,Grower B,Promotion,Kenya,Vert,3.04,6.17,2.03,237.88,76,468.92,231.04,Factuur,231.04,468.92,237.88000000000002
Flora Holland,2024,7,28,2024-07-12,687868,CF0021,MONCEAU FLEURS LYON,Franchise,Fleurs coupées,Roses,Tulipes premium,Grower D,Réassort,Italie,Rouge,7.33,15.29,2.09,899.48,113,1727.77,828.29,Factuur,828.29,1727.77,899.48
Tulip Export,2024,6,24,2024-06-14,624311,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Bouquets,Roses,Bouquets mixtes premium,Grower B,Réassort,France,Jaune,3.92,8.57,2.19,692.85,149,1276.93,584.08,Creditnota,584.08,1276.93,692.85
Rose Africa,2024,10,40,2024-10-02,686161,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Plantes,Orchidées,Tulipes premium,Grower C,Promotion,France,Blanc,1.71,3.31,1.94,11.2,7,23.17,11.97,Factuur,11.969999999999999,23.17,11.200000000000003
VDV,2024,12,52,2024-12-24,677526,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Plantes,Bouquets mixtes,Tulipes premium,Grower D,Stock,Kenya,Blanc,6.3,10.92,1.73,674.52,146,1594.32,919.8,Creditnota,919.8,1594.32,674.52
Rose Africa,2024,11,46,2024-11-12,696944,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Fleurs coupées,Plantes vertes,Bouquets mixtes premium,Grower D,Stock,Kenya,Vert,6.31,12.8,2.03,1070.85,165,2112.0,1041.15,Creditnota,1041.1499999999999,2112.0,1070.8500000000001
Tulip Export,2024,10,41,2024-10-09,641567,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Bouquets,Lys,Plantes vertes premium,Grower D,Commande spéciale,Italie,Rose,6.48,13.23,2.04,364.5,54,714.42,349.92,Creditnota,349.92,714.4200000000001,364.50000000000006
VDV,2024,5,18,2024-05-05,605112,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Plantes,Roses,Orchidées premium,Grower D,Réassort,Kenya,Rouge,1.08,2.36,2.19,238.08,186,438.96,200.88,Factuur,200.88000000000002,438.96,238.07999999999996
Orchidées France,2024,1,1,2024-01-04,659754,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Plantes,Roses,Roses premium,Grower C,Stock,Pays-Bas,Rouge,3.19,7.24,2.27,818.1,202,1462.48,644.38,Factuur,644.38,1462.48,818.1
Rose Africa,2024,1,1,2024-01-07,653574,CF0021,MONCEAU FLEURS LYON,Franchise,Fleurs coupées,Roses,Plantes vertes premium,Grower A,Stock,Espagne,Rouge,0.99,1.7,1.72,119.28,168,285.6,166.32,Creditnota,166.32,285.59999999999997,119.27999999999997
Orchidées France,2024,9,38,2024-09-19,662042,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Plantes,Roses,Lys premium,Grower A,Promotion,Pays-Bas,Rose,1.74,3.91,2.25,266.91,123,480.93,214.02,Factuur,214.02,480.93,266.90999999999997
VDV,2024,7,27,2024-07-03,614151,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Plantes,Orchidées,Tulipes premium,Grower A,Stock,France,Vert,7.58,18.42,2.43,596.2,55,1013.1,416.9,Creditnota,416.9,1013.1000000000001,596.2000000000002
Orchidées France,2024,4,16,2024-04-17,605800,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Fleurs coupées,Lys,Tulipes premium,Grower D,Commande spéciale,Italie,Mixte,2.47,5.09,2.06,542.34,207,1053.63,511.29,Factuur,511.29,1053.6299999999999,542.3399999999999
Flora Holland,2024,10,43,2024-10-25,630836,HF001,HAPPY PARIS OPERA,Succursale,Fleurs coupées,Bouquets mixtes,Plantes vertes premium,Grower B,Stock,France,Mixte,7.78,18.91,2.43,2559.9,230,4349.3,1789.4,Factuur,1789.4,4349.3,2559.9
Flora Holland,2024,9,38,2024-09-16,668578,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Accessoires,Orchidées,Orchidées premium,Grower A,Commande spéciale,Pays-Bas,Rose,2.38,3.59,1.51,160.93,133,477.47,316.54,Creditnota,316.53999999999996,477.46999999999997,160.93
Tulip Export,2024,6,26,2024-06-28,687224,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Fleurs coupées,Plantes vertes,Bouquets mixtes premium,Grower C,Promotion,Espagne,Mixte,8.13,10.84,1.33,317.07,117,1268.28,951.21,Creditnota,951.21,1268.28,317.06999999999994
VDV,2024,11,45,2024-11-06,653205,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Accessoires,Lys,Bouquets mixtes premium,Grower D,Promotion,Kenya,Rose,4.32,7.96,1.84,345.8,95,756.2,410.4,Factuur,410.40000000000003,756.2,345.8
Orchidées France,2024,10,43,2024-10-25,656588,CF0021,MONCEAU FLEURS LYON,Franchise,Bouquets,Orchidées,Bouquets mixtes premium,Grower D,Promotion,Pays-Bas,Rouge,7.56,11.15,1.47,610.3,170,1895.5,1285.2,Factuur,1285.2,1895.5,610.3
Tulip Export,2024,4,16,2024-04-20,644213,CF0021,MONCEAU FLEURS LYON,Franchise,Accessoires,Bouquets mixtes,Tulipes premium,Grower A,Commande spéciale,Kenya,Blanc,6.56,16.16,2.46,2390.4,249,4023.84,1633.44,Creditnota,1633.4399999999998,4023.84,2390.4000000000005
Orchidées France,2024,9,37,2024-09-11,692694,HF001,HAPPY PARIS OPERA,Franchise,Accessoires,Plantes vertes,Plantes vertes premium,Grower A,Promotion,France,Rose,5.42,10.94,2.02,800.4,145,1586.3,785.9,Creditnota,785.9,1586.3,800.4
VDV,2024,12,51,2024-12-22,609382,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Fleurs coupées,Plantes vertes,Orchidées premium,Grower C,Réassort,France,Rouge,7.03,12.73,1.81,872.1,153,1947.69,1075.59,Factuur,1075.5900000000001,1947.69,872.0999999999999
Flora Holland,2024,3,12,2024-03-24,698803,HF001,HAPPY PARIS OPERA,Franchise,Bouquets,Tulipes,Plantes vertes premium,Grower C,Réassort,France,Blanc,4.57,6.44,1.41,295.46,158,1017.52,722.06,Creditnota,722.0600000000001,1017.5200000000001,295.46000000000004
Tulip Export,2024,6,26,2024-06-28,616606,CF0021,MONCEAU FLEURS LYON,Franchise,Accessoires,Orchidées,Plantes vertes premium,Grower D,Réassort,Kenya,Rouge,4.9,8.71,1.78,697.23,183,1593.93,896.7,Factuur,896.7,1593.93,697.23
VDV,2024,4,15,2024-04-10,649955,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Accessoires,Plantes vertes,Lys premium,Grower C,Commande spéciale,France,Rouge,5.59,12.22,2.19,338.13,51,623.22,285.09,Factuur,285.09,623.22,338.13000000000005
Rose Africa,2024,4,16,2024-04-16,619089,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Plantes,Roses,Tulipes premium,Grower D,Commande spéciale,Pays-Bas,Vert,2.66,4.89,1.84,274.29,123,601.47,327.18,Creditnota,327.18,601.4699999999999,274.2899999999999
Tulip Export,2024,4,17,2024-04-22,645319,CF0021,MONCEAU FLEURS LYON,Franchise,Accessoires,Orchidées,Plantes vertes premium,Grower D,Réassort,Pays-Bas,Blanc,7.88,14.86,1.89,586.32,84,1248.24,661.92,Creditnota,661.92,1248.24,586.32
Rose Africa,2024,9,40,2024-09-30,688404,HF001,HAPPY PARIS OPERA,Succursale,Plantes,Bouquets mixtes,Bouquets mixtes premium,Grower A,Réassort,Pays-Bas,Rose,2.37,4.29,1.81,286.08,149,639.21,353.13,Factuur,353.13,639.21,286.08000000000004
Rose Africa,2024,7,27,2024-07-02,628243,CF0021,MONCEAU FLEURS LYON,Succursale,Plantes,Lys,Bouquets mixtes premium,Grower C,Stock,France,Jaune,6.22,12.84,2.06,397.2,60,770.4,373.2,Creditnota,373.2,770.4,397.2
Orchidées France,2024,4,15,2024-04-13,678168,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Fleurs coupées,Roses,Lys premium,Grower B,Promotion,Espagne,Mixte,1.58,3.45,2.18,461.89,247,852.15,390.26,Factuur,390.26,852.1500000000001,461.8900000000001
Flora Holland,2024,4,14,2024-04-03,685203,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Accessoires,Plantes vertes,Tulipes premium,Grower A,Promotion,Espagne,Rose,5.39,7.12,1.32,418.66,242,1723.04,1304.38,Creditnota,1304.3799999999999,1723.04,418.6600000000001
VDV,2024,9,35,2024-09-01,609678,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Fleurs coupées,Bouquets mixtes,Plantes vertes premium,Grower A,Commande spéciale,Kenya,Blanc,4.49,5.85,1.3,28.56,21,122.85,94.29,Creditnota,94.29,122.85,28.559999999999988
Flora Holland,2024,5,21,2024-05-21,643203,CF0021,MONCEAU FLEURS LYON,Succursale,Bouquets,Orchidées,Bouquets mixtes premium,Grower A,Promotion,France,Mixte,7.99,18.24,2.28,1496.5,146,2663.04,1166.54,Creditnota,1166.54,2663.04,1496.5
Rose Africa,2024,7,27,2024-07-05,619940,CF0021,MONCEAU FLEURS LYON,Succursale,Bouquets,Tulipes,Orchidées premium,Grower C,Promotion,Pays-Bas,Jaune,4.18,9.71,2.32,409.22,74,718.54,309.32,Creditnota,309.32,718.5400000000001,409.2200000000001
Rose Africa,2024,8,34,2024-08-21,693329,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Accessoires,Tulipes,Plantes vertes premium,Grower C,Stock,Pays-Bas,Jaune,1.01,2.5,2.48,354.62,238,595.0,240.38,Creditnota,240.38,595.0,354.62
Rose Africa,2024,7,28,2024-07-14,665702,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Accessoires,Roses,Bouquets mixtes premium,Grower B,Réassort,France,Rouge,5.56,12.67,2.28,540.36,76,962.92,422.56,Creditnota,422.55999999999995,962.92,540.36
Orchidées France,2024,5,21,2024-05-20,672364,CF0021,MONCEAU FLEURS LYON,Succursale,Bouquets,Lys,Bouquets mixtes premium,Grower B,Promotion,Kenya,Rouge,6.73,16.82,2.5,373.33,37,622.34,249.01,Creditnota,249.01000000000002,622.34,373.33000000000004
Flora Holland,2024,10,42,2024-10-17,676673,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Fleurs coupées,Bouquets mixtes,Orchidées premium,Grower D,Commande spéciale,Kenya,Blanc,7.2,11.82,1.64,452.76,98,1158.36,705.6,Factuur,705.6,1158.3600000000001,452.7600000000001
Tulip Export,2024,1,4,2024-01-22,685387,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Bouquets,Tulipes,Orchidées premium,Grower D,Promotion,Kenya,Rose,1.1,2.61,2.37,90.6,60,156.6,66.0,Creditnota,66.0,156.6,90.6
Flora Holland,2024,11,48,2024-11-25,611211,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Bouquets,Lys,Roses premium,Grower B,Stock,Pays-Bas,Mixte,2.38,5.52,2.32,499.26,159,877.68,378.42,Factuur,378.41999999999996,877.68,499.26
Orchidées France,2024,9,38,2024-09-17,683259,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Accessoires,Roses,Bouquets mixtes premium,Grower B,Réassort,Kenya,Vert,3.57,7.01,1.96,457.52,133,932.33,474.81,Creditnota,474.81,932.3299999999999,457.5199999999999
Tulip Export,2024,2,7,2024-02-12,663664,HF001,HAPPY PARIS OPERA,Franchise,Plantes,Orchidées,Tulipes premium,Grower C,Réassort,Pays-Bas,Rouge,1.27,2.79,2.2,299.44,197,549.63,250.19,Creditnota,250.19,549.63,299.44
Rose Africa,2024,3,12,2024-03-22,633504,CF0021,MONCEAU FLEURS LYON,Franchise,Accessoires,Lys,Tulipes premium,Grower D,Commande spéciale,Kenya,Jaune,3.79,7.42,1.96,606.21,167,1239.14,632.93,Creditnota,632.93,1239.14,606.2100000000002
Flora Holland,2024,12,49,2024-12-08,637273,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Accessoires,Plantes vertes,Tulipes premium,Grower C,Réassort,Italie,Rose,7.45,10.16,1.36,119.24,44,447.04,327.8,Creditnota,327.8,447.04,119.24000000000001
Orchidées France,2024,5,20,2024-05-15,664759,HF001,HAPPY PARIS OPERA,Succursale,Fleurs coupées,Plantes vertes,Bouquets mixtes premium,Grower C,Promotion,Italie,Jaune,3.74,6.31,1.69,377.79,147,927.57,549.78,Factuur,549.7800000000001,927.5699999999999,377.78999999999985
VDV,2024,2,8,2024-02-19,655831,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Plantes,Orchidées,Orchidées premium,Grower C,Commande spéciale,Kenya,Rouge,5.77,12.66,2.19,1136.85,165,2088.9,952.05,Creditnota,952.05,2088.9,1136.8500000000001
Tulip Export,2024,6,25,2024-06-20,607753,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Fleurs coupées,Bouquets mixtes,Orchidées premium,Grower A,Réassort,Kenya,Jaune,4.94,12.31,2.49,1783.54,242,2979.02,1195.48,Creditnota,1195.48,2979.02,1783.54
Rose Africa,2024,8,31,2024-08-01,612933,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Accessoires,Tulipes,Lys premium,Grower D,Réassort,France,Mixte,3.74,7.14,1.91,408.0,120,856.8,448.8,Creditnota,448.8,856.8,407.99999999999994
VDV,2024,4,16,2024-04-21,620826,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Plantes,Lys,Orchidées premium,Grower B,Commande spéciale,Kenya,Vert,3.1,4.2,1.35,73.7,67,281.4,207.7,Creditnota,207.70000000000002,281.40000000000003,73.70000000000002
Flora Holland,2024,7,30,2024-07-28,665640,CF0018,MONCEAU FLEURS PARIS 15,Succursale,Plantes,Orchidées,Plantes vertes premium,Grower A,Commande spéciale,Kenya,Blanc,2.87,5.44,1.9,573.11,223,1213.12,640.01,Factuur,640.01,1213.1200000000001,573.1100000000001
Rose Africa,2024,6,25,2024-06-17,692366,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Accessoires,Roses,Lys premium,Grower B,Réassort,France,Rose,2.5,3.84,1.54,221.1,165,633.6,412.5,Factuur,412.5,633.6,221.10000000000002
Flora Holland,2024,1,4,2024-01-27,623956,CF0021,MONCEAU FLEURS LYON,Succursale,Fleurs coupées,Bouquets mixtes,Orchidées premium,Grower A,Promotion,France,Vert,7.29,11.78,1.62,1028.21,229,2697.62,1669.41,Creditnota,1669.41,2697.62,1028.2099999999998
Orchidées France,2024,9,38,2024-09-16,665294,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Plantes,Bouquets mixtes,Plantes vertes premium,Grower A,Réassort,Pays-Bas,Jaune,4.07,7.78,1.91,786.52,212,1649.36,862.84,Factuur,862.84,1649.3600000000001,786.5200000000001
VDV,2024,7,28,2024-07-11,673589,HF001,HAPPY PARIS OPERA,Franchise,Accessoires,Roses,Plantes vertes premium,Grower C,Stock,Kenya,Rose,7.47,16.09,2.15,965.44,112,1802.08,836.64,Creditnota,836.64,1802.08,965.4399999999999
VDV,2024,6,22,2024-06-01,631075,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Accessoires,Plantes vertes,Tulipes premium,Grower D,Commande spéciale,Kenya,Rose,5.97,12.81,2.15,369.36,54,691.74,322.38,Creditnota,322.38,691.74,369.36
Rose Africa,2024,12,49,2024-12-05,661636,CF0021,MONCEAU FLEURS LYON,Succursale,Fleurs coupées,Roses,Plantes vertes premium,Grower D,Réassort,Pays-Bas,Rose,4.15,5.95,1.43,48.6,27,160.65,112.05,Creditnota,112.05000000000001,160.65,48.599999999999994
Rose Africa,2024,11,45,2024-11-10,642056,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Accessoires,Bouquets mixtes,Roses premium,Grower C,Promotion,Kenya,Rose,8.17,19.07,2.33,1111.8,102,1945.14,833.34,Factuur,833.34,1945.14,1111.8000000000002
Orchidées France,2024,3,11,2024-03-11,695464,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Fleurs coupées,Orchidées,Lys premium,Grower D,Réassort,Espagne,Rose,7.88,18.57,2.36,1133.14,106,1968.42,835.28,Creditnota,835.28,1968.42,1133.14
Rose Africa,2024,6,22,2024-06-01,601740,HF001,HAPPY PARIS OPERA,Franchise,Plantes,Plantes vertes,Tulipes premium,Grower B,Commande spéciale,Kenya,Jaune,3.89,7.12,1.83,58.14,18,128.16,70.02,Factuur,70.02,128.16,58.14
VDV,2024,4,16,2024-04-18,613436,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Accessoires,Lys,Tulipes premium,Grower A,Réassort,Pays-Bas,Blanc,5.61,7.57,1.35,70.56,36,272.52,201.96,Creditnota,201.96,272.52,70.55999999999997
Flora Holland,2024,10,44,2024-10-31,614175,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Bouquets,Roses,Lys premium,Grower B,Promotion,Espagne,Jaune,7.45,10.39,1.39,85.26,29,301.31,216.05,Factuur,216.05,301.31,85.25999999999999
VDV,2024,9,38,2024-09-16,688908,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Accessoires,Tulipes,Lys premium,Grower C,Réassort,Italie,Rouge,1.47,3.39,2.31,11.52,6,20.34,8.82,Factuur,8.82,20.34,11.52
Rose Africa,2024,6,25,2024-06-17,626470,HF001,HAPPY PARIS OPERA,Franchise,Accessoires,Orchidées,Lys premium,Grower D,Commande spéciale,Pays-Bas,Rouge,8.28,18.53,2.24,1496.5,146,2705.38,1208.88,Factuur,1208.8799999999999,2705.38,1496.5000000000002
Rose Africa,2024,10,40,2024-10-01,628744,HF001,HAPPY PARIS OPERA,Franchise,Accessoires,Roses,Plantes vertes premium,Grower A,Stock,Kenya,Rouge,5.28,12.11,2.29,587.38,86,1041.46,454.08,Creditnota,454.08000000000004,1041.46,587.38
VDV,2024,3,12,2024-03-21,686648,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Bouquets,Tulipes,Tulipes premium,Grower C,Réassort,Kenya,Rouge,3.28,6.56,2.0,646.16,197,1292.32,646.16,Creditnota,646.16,1292.32,646.16
Rose Africa,2024,3,11,2024-03-11,627470,HF001,HAPPY PARIS OPERA,Franchise,Fleurs coupées,Roses,Orchidées premium,Grower A,Stock,France,Mixte,1.01,2.31,2.29,228.8,176,406.56,177.76,Factuur,177.76,406.56,228.8
Tulip Export,2024,9,36,2024-09-03,633805,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Plantes,Orchidées,Plantes vertes premium,Grower A,Commande spéciale,Italie,Blanc,3.0,5.12,1.71,69.96,33,168.96,99.0,Creditnota,99.0,168.96,69.96000000000001
VDV,2024,6,23,2024-06-03,671297,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Accessoires,Lys,Orchidées premium,Grower B,Commande spéciale,France,Jaune,6.56,15.2,2.32,812.16,94,1428.8,616.64,Factuur,616.64,1428.8,812.16
Orchidées France,2024,10,40,2024-10-05,632911,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Accessoires,Lys,Roses premium,Grower D,Promotion,Espagne,Blanc,2.21,4.02,1.82,195.48,108,434.16,238.68,Creditnota,238.68,434.15999999999997,195.47999999999996
Orchidées France,2024,8,33,2024-08-15,681336,CF0021,MONCEAU FLEURS LYON,Succursale,Bouquets,Tulipes,Lys premium,Grower A,Promotion,France,Mixte,4.71,6.18,1.31,335.16,228,1409.04,1073.88,Factuur,1073.8799999999999,1409.04,335.1600000000001
Rose Africa,2024,10,40,2024-10-02,611789,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Bouquets,Orchidées,Roses premium,Grower D,Stock,Espagne,Vert,7.1,15.6,2.2,450.5,53,826.8,376.3,Factuur,376.29999999999995,826.8,450.5
Orchidées France,2024,7,27,2024-07-01,698621,CF0032,MONCEAU FLEURS MARSEILLE,Franchise,Fleurs coupées,Bouquets mixtes,Plantes vertes premium,Grower B,Commande spéciale,Italie,Mixte,7.51,13.54,1.8,506.52,84,1137.36,630.84,Factuur,630.84,1137.36,506.51999999999987
Orchidées France,2024,6,23,2024-06-07,641370,HF001,HAPPY PARIS OPERA,Succursale,Plantes,Tulipes,Orchidées premium,Grower C,Promotion,Espagne,Rose,4.97,11.64,2.34,580.29,87,1012.68,432.39,Creditnota,432.39,1012.6800000000001,580.2900000000001
Orchidées France,2024,1,2,2024-01-10,623357,CF0021,MONCEAU FLEURS LYON,Franchise,Bouquets,Tulipes,Orchidées premium,Grower A,Commande spéciale,Kenya,Jaune,7.33,11.43,1.56,709.3,173,1977.39,1268.09,Factuur,1268.09,1977.3899999999999,709.3
Orchidées France,2024,1,3,2024-01-19,654780,HF001,HAPPY PARIS OPERA,Succursale,Plantes,Lys,Orchidées premium,Grower D,Commande spéciale,Espagne,Vert,5.41,9.93,1.84,809.08,179,1777.47,968.39,Creditnota,968.39,1777.47,809.08
Rose Africa,2024,9,36,2024-09-08,640239,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Accessoires,Orchidées,Orchidées premium,Grower A,Commande spéciale,Italie,Rouge,1.37,2.76,2.01,271.05,195,538.2,267.15,Creditnota,267.15000000000003,538.1999999999999,271.0499999999999
Rose Africa,2024,1,4,2024-01-23,647003,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Fleurs coupées,Plantes vertes,Tulipes premium,Grower A,Commande spéciale,Kenya,Rose,2.66,3.65,1.37,166.32,168,613.2,446.88,Factuur,446.88,613.1999999999999,166.31999999999994
Tulip Export,2024,2,8,2024-02-24,656872,HF001,HAPPY PARIS OPERA,Franchise,Bouquets,Roses,Roses premium,Grower C,Réassort,Espagne,Blanc,4.0,9.73,2.43,120.33,21,204.33,84.0,Factuur,84.0,204.33,120.33000000000001
Flora Holland,2024,2,9,2024-02-26,610598,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Bouquets,Lys,Plantes vertes premium,Grower B,Stock,Pays-Bas,Rose,6.53,8.5,1.3,478.71,243,2065.5,1586.79,Creditnota,1586.79,2065.5,478.71000000000004
Flora Holland,2024,3,11,2024-03-12,622767,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Plantes,Orchidées,Plantes vertes premium,Grower D,Commande spéciale,Kenya,Rouge,8.5,19.42,2.28,1921.92,176,3417.92,1496.0,Factuur,1496.0,3417.92,1921.92
VDV,2024,9,38,2024-09-22,622996,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Fleurs coupées,Tulipes,Bouquets mixtes premium,Grower A,Réassort,Espagne,Jaune,2.56,5.85,2.29,134.89,41,239.85,104.96,Factuur,104.96000000000001,239.85,134.89
Rose Africa,2024,2,6,2024-02-10,681000,HF001,HAPPY PARIS OPERA,Succursale,Plantes,Tulipes,Lys premium,Grower C,Promotion,Italie,Rose,5.98,8.85,1.48,574.0,200,1770.0,1196.0,Factuur,1196.0,1770.0,574.0
Orchidées France,2024,1,4,2024-01-22,668262,HF001,HAPPY PARIS OPERA,Succursale,Bouquets,Orchidées,Tulipes premium,Grower B,Stock,Espagne,Rose,6.12,10.41,1.7,815.1,190,1977.9,1162.8,Factuur,1162.8,1977.9,815.1000000000001
Orchidées France,2024,9,37,2024-09-13,678261,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Accessoires,Plantes vertes,Tulipes premium,Grower B,Commande spéciale,France,Jaune,7.44,18.18,2.44,998.82,93,1690.74,691.92,Factuur,691.9200000000001,1690.74,998.8199999999999
